N E X T F L O W  ~  version 21.04.0-edge
Launching `/workdir/B5-Workflow-Earth-Observation/EO-01/workflow-dsl2.nf` [eo-experiment-r7-n14-e3] - revision: 95e4f03f65
[7f/0c5ffa] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010702_20180311_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[69/41e347] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19900720_20180210_01_T1)
[14/38ebc2] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19860522_20170217_01_T1)
[5c/943dd1] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19850401_20171213_01_T1)
[84/c8abdb] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950107_20180210_01_T1)
[a8/5d3948] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19911230_20170908_01_T1)
[a8/c9e98b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950531_20180210_01_T1)
[2b/f67a7d] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19890327_20170908_01_T1)
[c6/004ed9] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20040920_20170119_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[8e/30b4be] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20041115_20180310_01_T1)
[35/5dff3c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010531_20180726_01_T1)
[6c/b28fb0] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19900821_20170613_01_T1)
[48/850184] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19890311_20170717_01_T1)
[72/27a5da] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19950819_20180210_01_T1)
[a3/c73dd6] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19891208_20180210_01_T1)
[6f/9b1b45] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960906_20180210_01_T1)
[66/e6460d] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940715_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[e4/3cef07] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19980216_20180210_01_T1)
[bc/de8ef5] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20030825_20161204_01_T1)
[8c/dffb5d] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19920319_20180210_01_T1)
[dc/0dd038] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19840719_20171213_01_T1)
[b9/39142d] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19910925_20170717_01_T1)
[9e/bce5d6] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19970824_20180210_01_T1)
[87/1acfbd] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19851127_20171212_01_T1)
[67/467b41] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870525_20170212_01_T1)
[26/61ae59] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20050227_20170117_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[05/9dc277] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19940629_20180210_01_T1)
[86/b79d69] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19911214_20180301_01_T1)
[b4/cd82d1] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19961109_20180210_01_T1)
[d4/e256fa] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19981014_20180821_01_T1)
[c3/2f43ab] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19841023_20170220_01_T1)
[0b/9381d6] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20020203_20170201_01_T1)
[ab/a24b4d] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20020619_20180616_01_T1)
[fd/3a2354] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19881002_20170717_01_T1)
[de/f9745b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19900330_20180210_01_T1)
[2e/d6a316] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20000808_20170210_01_T1)
[fb/d410ca] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010429_20180311_01_T1)
[f5/2ef264] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20010208_20180311_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[12/024e3e] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_20060817_20180310_01_T1)
[91/15ca6c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19840820_20170220_01_T1)
[76/5b2a3c] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19890717_20180210_01_T1)
[39/c3013b] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19960618_20180210_01_T1)
[80/b4216c] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20060505_20170109_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[0a/67cad3] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19870914_20180219_01_T1)
[55/40176d] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_19990822_20170217_01_T1)
[c0/9095d4] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20040819_20170119_01_T1)
[db/ed80b2] Submitted process > preprocessing:preprocess (LT05_L1TP_183035_19910112_20180219_01_T1)
[7c/761d6f] Submitted process > preprocessing:preprocess (LE07_L1TP_183035_20010811_20170204_01_T1)
[9e/6e42a5] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19890507_20180620_01_T1)
[b9/363e08] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20060607_20180310_01_T1)
[bc/9b55ba] Submitted process > preprocessing:preprocess (LT04_L1TP_182035_19891209_20170201_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[56/6a1cd7] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19960915_20180210_01_T1)
[67/f29775] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_19990730_20170218_01_T1)
[84/214c75] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20051002_20170112_01_T1)
[2e/ee1bd1] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20040617_20180311_01_T1)
[de/dc1c88] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20010727_20161210_01_T1)
[5b/f429e9] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_19991221_20170215_01_T1)
[3b/4d7bb8] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19970817_20180210_01_T1)
[27/c6317c] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19950305_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[f1/dcd266] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20060514_20170108_01_T1)
[ee/701c5d] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19890304_20180302_01_T1)
[05/0658ab] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20000614_20170211_01_T1)
[6c/15de7d] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20010209_20170207_01_T1)
[6d/7512fc] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19901118_20180210_01_T1)
[13/12b2fa] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20000326_20170212_01_T1)
[2d/a7c60a] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19940809_20200430_01_T1)
[b3/1b2dac] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19860920_20180430_01_T1)
[d6/267c09] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20030303_20170126_01_T1)
[84/c087e8] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19881011_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[49/876082] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19911004_20180210_01_T1)
[e1/aaefec] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19960103_20180210_01_T1)
[4c/190bf4] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19980703_20171214_01_T1)
[fa/4758c8] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20060522_20180310_01_T1)
[0e/4a4d24] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20010625_20180929_01_T1)
[e1/ed3d13] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19971223_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[62/9cd5a9] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19900814_20170128_01_T1)
[a0/add33f] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20050628_20170115_01_T1)
[87/121bf3] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20030114_20170213_01_T1)
[58/63d386] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20001105_20170209_01_T1)
[f7/96a11e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19950913_20180210_01_T1)
[39/552de2] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19981007_20180821_01_T1)
[a1/d5e2bc] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_19990916_20170217_01_T1)
[13/ca5bab] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19981023_20170717_01_T1)
[41/b3de71] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19910105_20180210_01_T1)
[dd/4aab2a] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20051111_20180126_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[cb/aba6e4] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20011124_20170213_01_T1)
[ca/42bcc0] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19890115_20180613_01_T1)
[25/05eba9] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19910716_20171208_01_T1)
[3d/b044d9] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19941113_20180210_01_T1)
[56/4ba8cf] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20031130_20170123_01_T1)
[5a/c542f7] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20000521_20180914_01_T1)
[9e/23b8d1] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20000207_20170213_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[a2/3d487b] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19970716_20180210_01_T1)
[50/82a28e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19961220_20180210_01_T1)
[0b/c122bf] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19900713_20180210_01_T1)
[8d/a1c71c] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19910529_20180113_01_T1)
[98/f487bf] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19920920_20180302_01_T1)
[b5/a3c461] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20060530_20170108_01_T1)
[ed/7b4c87] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20051205_20170111_01_T1)
[ec/7519b9] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19840509_20171214_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[eb/f290c6] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20020714_20180902_01_T1)
[ba/3b9db2] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19960627_20180210_01_T1)
[5e/234749] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20000926_20171211_01_T1)
[9f/a626c7] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20011007_20170203_01_T1)
[a5/547f05] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19941231_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[a3/3fc5d5] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19900323_20180210_01_T1)
[07/17c71b] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20000708_20171210_01_T1)
[df/bcaef3] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19980905_20171208_01_T1)
[15/8fb1fa] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20020228_20170131_01_T1)
[0c/3d4b1e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19870705_20170212_01_T1)
[ab/0adc89] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19880113_20170907_01_T1)
[18/0c3694] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20010422_20180311_01_T1)
[f8/d249df] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19940129_20171214_01_T1)
[75/051826] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19930721_20180210_01_T1)
[7a/d883c5] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19950828_20201112_01_T1)
[77/d32d0c] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19880129_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[98/69e8e8] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19940521_20180210_01_T1)
[bb/d86566] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19951202_20170907_01_T1)
[82/b49142] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20030130_20170126_01_T1)
[2d/94c24e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19980820_20171215_01_T1)
[3b/a98af9] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20050409_20170115_01_T1)
[03/a82d4f] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19911223_20180210_01_T1)
[b2/d230b6] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19900830_20180302_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[7f/c7871b] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19960510_20180210_01_T1)
[0e/161fe5] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20010108_20170208_01_T1)
[87/1abbda] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19880707_20170613_01_T1)
[37/f9c49a] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20060717_20170107_01_T1)
[2e/52d3ca] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19860224_20180210_01_T1)
[40/36b19e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19910614_20180210_01_T1)
[ab/973d59] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19940419_20180210_01_T1)
[fe/ac5434] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19970529_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[01/39fa39] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19850205_20170219_01_T1)
[4d/59ba5e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20020628_20161208_01_T1)
[e2/38418b] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19920718_20180218_01_T1)
[4d/c49bed] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19980905_20180727_01_T1)
[27/7aad36] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19930502_20180210_01_T1)
[4a/dca3ee] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19900526_20170717_01_T1)
[2e/7728d6] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20061029_20180309_01_T1)
[1b/328071] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19950625_20180210_01_T1)
[f6/8d4528] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20050815_20170113_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[24/0ce1f0] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19870502_20170213_01_T1)
[41/4d4b83] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19960713_20180210_01_T1)
[03/3ec8ed] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20010804_20170204_01_T1)
[9a/7563a7] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19880723_20180210_01_T1)
[6e/dd88c9] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19950406_20180210_01_T1)
[97/613791] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19950524_20180210_01_T1)
[c3/22a8f1] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20060903_20170108_01_T1)
[5f/245c3c] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19931025_20180210_01_T1)
[24/3f7214] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20001215_20180312_01_T1)
[e1/590fdd] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19930923_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[55/4548f5] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20020127_20170201_01_T1)
[c4/65922c] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19930705_20170717_01_T1)
[2a/d230ad] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19930806_20180210_01_T1)
[02/1da35b] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19950609_20180210_01_T1)
[27/625fa3] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19940910_20180112_01_T1)
[cf/a49be9] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19901017_20180613_01_T1)
[76/3ef4f9] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20011226_20170201_01_T1)
[00/c10681] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19920515_20180210_01_T1)
[47/b87164] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19880909_20180210_01_T1)
[57/3812cf] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20020308_20180501_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[be/cd74e2] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20040719_20180309_01_T1)
[87/0e6a05] Submitted process > preprocessing:preprocess (LT04_L1TP_182035_19880121_20170210_01_T1)
[78/f31129] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19921006_20171209_01_T1)
[12/322ee2] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20040711_20170120_01_T1)
[7d/1a003a] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19870721_20170211_01_T1)
[09/a83cc6] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20061208_20170106_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[34/5ff264] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20010719_20170204_01_T1)
[a5/8d464e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19860531_20170217_01_T1)
[3a/b900ec] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19960830_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[24/52f3e7] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19930315_20180112_01_T1)
[a3/59441c] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19850901_20171212_01_T1)
[42/6431a0] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20000310_20170213_01_T1)
[dd/be8a27] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19871009_20170210_01_T1)
[29/64b363] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19860718_20170217_01_T1)
[dc/b5d61e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20050807_20180127_01_T1)
[1c/c97243] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19961118_20180210_01_T1)
[35/5a9f03] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19871110_20170908_01_T1)
[e7/462727] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19970918_20180210_01_T1)
[6f/c11021] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19910411_20171214_01_T1)
[88/32932b] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20040913_20170119_01_T1)
[10/9ce031] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20010812_20180501_01_T1)
[8d/b43edf] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19941028_20180210_01_T1)
[04/1eb4bf] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20001121_20170209_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[e1/bc3a8d] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20030319_20170125_01_T1)
[28/770b06] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19920702_20170907_01_T1)
[70/d9829f] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19890726_20180210_01_T1)
[9c/4a0973] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19940622_20180210_01_T1)
[51/eaae0f] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19860616_20180430_01_T1)
[16/397435] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20010929_20170908_01_T1)
[7e/9c991e] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19930518_20180210_01_T1)
[03/55e6c2] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19910918_20180210_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[d8/3f629d] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20030420_20170126_01_T1)
[e7/0efd82] Submitted process > preprocessing:preprocess (LT04_L1TP_182035_19890107_20170204_01_T1)
[8c/ba24d7] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19940809_20180721_01_T1)
[f7/3df57a] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19851206_20171212_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[66/086d6c] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20050425_20170115_01_T1)
[8a/237d23] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19860819_20170216_01_T1)
[e2/8cdd3f] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19970801_20180210_01_T1)
[80/42462b] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19980601_20171215_01_T1)
[1a/cd6ed4] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19990503_20180210_01_T1)
[dd/f97601] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19921209_20180210_01_T1)
[9f/eaf996] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19900729_20170129_01_T1)
[c9/e125b3] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19861006_20180727_01_T1)
WARN: K8s pod cannot be scheduled -- 0/24 nodes are available: 1 node(s) had taint {node.kubernetes.io/disk-pressure: }, that the pod didn't tolerate, 10 node(s) didn't match node selector, 13 Insufficient cpu, 13 Insufficient memory.
[64/c92cd7] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19880317_20180210_01_T1)
[12/203bba] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19980921_20170717_01_T1)
[0c/e3a0ff] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19850528_20171212_01_T1)
[2c/d054ab] Submitted process > preprocessing:preprocess (LE07_L1TP_182035_20000529_20170211_01_T1)
[7e/f7566f] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19971207_20180706_01_T1)
[21/56d8b9] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20000724_20171211_01_T1)
[a6/a4b141] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_19920904_20180210_01_T1)
[86/bcbdd7] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20030919_20161204_01_T1)
[d4/ff5516] Submitted process > preprocessing:preprocess (LT05_L1TP_182035_20050823_20180127_01_T1)
